[2025-03-12T22:07:50.207+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_39.txt from staging...
[2025-03-12T22:07:50.214+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_39.txt...
[2025-03-12T22:07:50.395+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_4.txt from staging...
[2025-03-12T22:07:50.402+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_4.txt...
[2025-03-12T22:07:50.573+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_40.txt from staging...
[2025-03-12T22:07:50.580+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_40.txt...
[2025-03-12T22:07:50.754+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_41.txt from staging...
[2025-03-12T22:07:50.767+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_41.txt...
[2025-03-12T22:07:50.980+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_42.txt from staging...
[2025-03-12T22:07:50.987+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_42.txt...
[2025-03-12T22:07:51.161+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_43.txt from staging...
[2025-03-12T22:07:51.171+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_43.txt...
[2025-03-12T22:07:51.382+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_44.txt from staging...
[2025-03-12T22:07:51.393+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_44.txt...
[2025-03-12T22:07:51.579+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_45.txt from staging...
[2025-03-12T22:07:51.587+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_45.txt...
[2025-03-12T22:07:51.763+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_46.txt from staging...
[2025-03-12T22:07:51.773+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_46.txt...
[2025-03-12T22:07:52.010+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_47.txt from staging...
[2025-03-12T22:07:52.019+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_47.txt...
[2025-03-12T22:07:52.203+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_48.txt from staging...
[2025-03-12T22:07:52.212+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_48.txt...
[2025-03-12T22:07:52.611+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_49.txt from staging...
[2025-03-12T22:07:52.626+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_49.txt...
[2025-03-12T22:07:52.822+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_5.txt from staging...
[2025-03-12T22:07:52.834+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_5.txt...
[2025-03-12T22:07:53.092+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_50.txt from staging...
[2025-03-12T22:07:53.102+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_50.txt...
[2025-03-12T22:07:53.280+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_51.txt from staging...
[2025-03-12T22:07:53.288+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_51.txt...
[2025-03-12T22:07:53.497+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_52.txt from staging...
[2025-03-12T22:07:53.523+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_52.txt...
[2025-03-12T22:07:53.905+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_53.txt from staging...
[2025-03-12T22:07:53.940+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_53.txt...
[2025-03-12T22:07:54.177+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_54.txt from staging...
[2025-03-12T22:07:54.185+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_54.txt...
[2025-03-12T22:07:54.435+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_55.txt from staging...
[2025-03-12T22:07:54.448+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_55.txt...
[2025-03-12T22:07:54.820+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_56.txt from staging...
[2025-03-12T22:07:54.842+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_56.txt...
[2025-03-12T22:07:55.187+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_57.txt from staging...
[2025-03-12T22:07:55.374+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_57.txt...
[2025-03-12T22:07:55.967+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_58.txt from staging...
[2025-03-12T22:07:55.989+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_58.txt...
[2025-03-12T22:07:56.237+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_59.txt from staging...
[2025-03-12T22:07:56.248+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_59.txt...
[2025-03-12T22:07:56.470+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_6.txt from staging...
[2025-03-12T22:07:56.485+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_6.txt...
[2025-03-12T22:07:56.728+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_60.txt from staging...
[2025-03-12T22:07:56.738+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_60.txt...
[2025-03-12T22:07:56.952+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_61.txt from staging...
[2025-03-12T22:07:56.963+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_61.txt...
[2025-03-12T22:07:57.202+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_62.txt from staging...
[2025-03-12T22:07:57.215+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_62.txt...
[2025-03-12T22:07:57.382+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_63.txt from staging...
[2025-03-12T22:07:57.390+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_63.txt...
[2025-03-12T22:07:57.579+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_64.txt from staging...
[2025-03-12T22:07:57.588+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_64.txt...
[2025-03-12T22:07:57.747+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_65.txt from staging...
[2025-03-12T22:07:57.754+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_65.txt...
[2025-03-12T22:07:57.929+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_66.txt from staging...
[2025-03-12T22:07:57.935+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_66.txt...
[2025-03-12T22:07:58.160+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_67.txt from staging...
[2025-03-12T22:07:58.170+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_67.txt...
[2025-03-12T22:07:58.347+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_68.txt from staging...
[2025-03-12T22:07:58.357+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_68.txt...
[2025-03-12T22:07:58.522+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_69.txt from staging...
[2025-03-12T22:07:58.529+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_69.txt...
[2025-03-12T22:07:58.707+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_7.txt from staging...
[2025-03-12T22:07:58.715+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_7.txt...
[2025-03-12T22:07:58.918+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_70.txt from staging...
[2025-03-12T22:07:58.926+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_70.txt...
[2025-03-12T22:07:59.105+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_71.txt from staging...
[2025-03-12T22:07:59.117+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_71.txt...
[2025-03-12T22:07:59.313+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_72.txt from staging...
[2025-03-12T22:07:59.326+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_72.txt...
[2025-03-12T22:07:59.497+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_73.txt from staging...
[2025-03-12T22:07:59.509+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_73.txt...
[2025-03-12T22:07:59.695+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_74.txt from staging...
[2025-03-12T22:07:59.704+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_74.txt...
[2025-03-12T22:07:59.908+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_75.txt from staging...
[2025-03-12T22:07:59.920+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_75.txt...
[2025-03-12T22:08:00.342+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_76.txt from staging...
[2025-03-12T22:08:00.354+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_76.txt...
[2025-03-12T22:08:00.551+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_77.txt from staging...
[2025-03-12T22:08:00.563+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_77.txt...
[2025-03-12T22:08:00.853+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_78.txt from staging...
[2025-03-12T22:08:00.867+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_78.txt...
[2025-03-12T22:08:01.069+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_79.txt from staging...
[2025-03-12T22:08:01.081+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_79.txt...
[2025-03-12T22:08:01.281+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_8.txt from staging...
[2025-03-12T22:08:01.290+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_8.txt...
[2025-03-12T22:08:01.494+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_80.txt from staging...
[2025-03-12T22:08:01.507+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_80.txt...
[2025-03-12T22:08:01.702+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_81.txt from staging...
[2025-03-12T22:08:01.711+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_81.txt...
[2025-03-12T22:08:01.921+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_82.txt from staging...
[2025-03-12T22:08:01.933+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_82.txt...
[2025-03-12T22:08:02.119+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_83.txt from staging...
[2025-03-12T22:08:02.129+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_83.txt...
[2025-03-12T22:08:02.302+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_84.txt from staging...
[2025-03-12T22:08:02.310+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_84.txt...
[2025-03-12T22:08:02.505+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_85.txt from staging...
[2025-03-12T22:08:02.514+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_85.txt...
[2025-03-12T22:08:02.685+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_86.txt from staging...
[2025-03-12T22:08:02.692+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_86.txt...
[2025-03-12T22:08:02.854+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_87.txt from staging...
[2025-03-12T22:08:02.861+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_87.txt...
[2025-03-12T22:08:03.042+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_88.txt from staging...
[2025-03-12T22:08:03.049+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_88.txt...
[2025-03-12T22:08:03.229+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_89.txt from staging...
[2025-03-12T22:08:03.236+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_89.txt...
[2025-03-12T22:08:04.074+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_9.txt from staging...
[2025-03-12T22:08:04.081+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_9.txt...
[2025-03-12T22:08:04.260+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_90.txt from staging...
[2025-03-12T22:08:04.272+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_90.txt...
[2025-03-12T22:08:04.451+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_91.txt from staging...
[2025-03-12T22:08:04.461+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_91.txt...
[2025-03-12T22:08:04.632+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_92.txt from staging...
[2025-03-12T22:08:04.640+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_92.txt...
[2025-03-12T22:08:04.806+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_93.txt from staging...
[2025-03-12T22:08:04.814+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_93.txt...
[2025-03-12T22:08:04.991+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_94.txt from staging...
[2025-03-12T22:08:04.999+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_94.txt...
[2025-03-12T22:08:05.406+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_95.txt from staging...
[2025-03-12T22:08:05.415+0000] {aws_s3_repository.py:46} INFO - [AWS S3]⚙️ Prétraitement du fichier test/test_95.txt...
[2025-03-12T22:08:05.604+0000] {aws_s3_repository.py:43} INFO - [AWS S3]📥 Download test/test_96.txt from staging...
